algo vs matrices,time to train(sec),time to predict(sec),accuracy_score,precision_score,recall_score,f1_score,fbeta_score,matthews_corrcoef,jaccard_score,cohen_kappa_score,hamming_loss,zero_one_loss,mean_absolute_error,mean_squared_error,mean_squared_error,balanced_accuracy_score,explained_variance_score
constructive_learning,0.010,1.607,0.881,0.880,0.881,0.881,0.880,0.862,0.801,0.862,0.119,0.119,0.342,1.374,1.172,0.868,72.351
AIS,0.501,30.132,0.915,0.916,0.915,0.914,0.915,0.901,0.851,0.901,0.085,0.085,0.248,1.010,1.005,0.913,79.673
GBBK,0.026,0.065,0.545,0.639,0.545,0.527,0.561,0.515,0.453,0.477,0.455,0.455,1.778,9.104,3.017,0.456,-67.236
GE SVM,40.937,59.456,0.710,0.736,0.710,0.688,0.692,0.669,0.587,0.662,0.290,0.290,0.906,3.908,1.977,0.635,27.390
Hidden Naive Bayes (HNB),0.024,0.090,0.545,0.639,0.545,0.527,0.561,0.515,0.453,0.477,0.455,0.455,1.778,9.104,3.017,0.456,-67.236
HistGradientBoostingClassifier,0.641,16.845,0.912,0.912,0.912,0.911,0.912,0.898,0.847,0.898,0.088,0.088,0.252,1.021,1.010,0.908,79.452
IGRF-RFE with k-fold Cross-Validation,0.008,1.242,0.881,0.882,0.881,0.882,0.882,0.862,0.802,0.862,0.119,0.119,0.351,1.446,1.203,0.867,70.897
ICA,0.508,60.221,0.912,0.912,0.912,0.911,0.912,0.898,0.846,0.898,0.088,0.088,0.263,1.095,1.047,0.909,77.954
Lasso Regression,0.012,130.403,0.644,0.675,0.644,0.622,0.632,0.594,0.529,0.585,0.356,0.356,0.998,4.013,2.003,0.533,19.979
Meta (KNN),8.544,0.471,0.891,0.893,0.891,0.890,0.891,0.874,0.813,0.874,0.109,0.109,0.329,1.386,1.177,0.889,72.132
T-SNE Random Forest (T-SNERF) with k-fold Cross-Validation,0.841,1881.119,0.491,0.488,0.491,0.487,0.487,0.408,0.388,0.407,0.509,0.509,1.593,6.925,2.632,0.359,-39.367
Projected Gradient Descent (PGD),0.054,70.998,0.708,0.750,0.708,0.685,0.689,0.667,0.584,0.659,0.292,0.292,0.867,3.680,1.918,0.623,28.627
PCA,0.011,2.584,0.869,0.868,0.869,0.868,0.868,0.847,0.783,0.847,0.131,0.131,0.390,1.620,1.273,0.852,67.404
RBF,79.315,129.931,0.711,0.737,0.711,0.689,0.693,0.670,0.587,0.663,0.289,0.289,0.906,3.915,1.979,0.636,27.275
Stacked Convolutional Neural Networks with k-fold Cross-Validation,6.785,149.428,0.795,0.799,0.795,0.772,0.772,0.766,0.677,0.762,0.205,0.205,0.654,2.940,1.715,0.760,41.392
Simulated Annealing (SA),0.005,259.024,0.481,0.696,0.481,0.442,0.515,0.452,0.354,0.373,0.519,0.519,1.650,6.586,2.566,0.331,-5.236
SVM with Optimization and k-fold Cross-Validation,22.696,102.056,0.625,0.675,0.625,0.576,0.586,0.584,0.496,0.559,0.375,0.375,1.061,4.183,2.045,0.490,19.056
Stacking Classifier,2.839,294.681,0.881,0.882,0.881,0.882,0.882,0.862,0.804,0.862,0.119,0.119,0.334,1.326,1.152,0.870,73.309
Stacking Dilated Convolutional Autoencoders,0.035,15.341,0.883,0.883,0.883,0.883,0.883,0.865,0.805,0.865,0.117,0.117,0.337,1.365,1.168,0.872,72.533
Temporal Deep Feedforward Neural Network,4.990,123.630,0.672,0.738,0.672,0.632,0.637,0.632,0.544,0.617,0.328,0.328,1.020,4.510,2.124,0.567,10.435
Voting Classifier,0.358,5.942,0.884,0.885,0.884,0.884,0.884,0.865,0.806,0.865,0.116,0.116,0.332,1.344,1.159,0.874,73.014
GBT,0.811,613.111,0.885,0.886,0.885,0.883,0.885,0.867,0.806,0.866,0.115,0.115,0.344,1.468,1.212,0.876,70.462
CART,0.021,4503.363,0.255,0.133,0.255,0.114,0.103,0.087,0.070,0.015,0.745,0.745,1.743,5.240,2.289,0.126,3.450
